ID,SMILE
ID0000086,O=C(O)C(=Cc1ccc(O)c(O)c1)N=CCC1=CC(C(=O)O)=NC(C(=O)O)C1>>O=C(O)C1=C/C(=C/C=[N+]2/c3cc(O)c(O)cc3CC2C(=O)[O-])CC(C(=O)O)N1
ID0000087,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)CNC(=O)CNC(=O)C(N)Cc1ccc(O)cc1)C(=O)O>>CC(C)CC(NC(=O)C(N)Cc1ccccc1)C(=O)O
ID0000088,*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O)OC(*)=O>>*C(=O)OC[C@H](COP(=O)(O)O[C@H]1[C@H](O)[C@@H](O)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]1O)OC(*)=O
ID0000089,*NC(Cc1cncn1P(=O)(O)O)C(*)=O>>O=P(O)(O)OC[C@H]1OC(OC2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ID0000090,O=C(O)Cc1ccc(O)c(O)c1>>O=C(O)Cc1ccc(O)cc1
ID0000091,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@]3(CO)O[C@H](CO)[C@@H](O)[C@@H]3O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O>>OC[C@H]1O[C@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O
ID0000092,Cc1ncc(CO)c(C=O)c1O>>Cc1ncc(CO)c(CO)c1O
ID0000093,CC(C)CC(=O)O>>CC(C)CC(N)C(=O)O
ID0000094,CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O>>CC(=O)N[C@@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)[C@@H](OP(=O)(O)OP(=O)(O)OC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@@H]2CO)OC(C(=O)O)[C@@H](O)[C@@H]1O
ID0000095,CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2=O>>CC(C)c1cc2c(cc1O)[C@@]1(C)CCCC(C)(C)[C@@H]1CC2
ID0000096,CSCCCCC(NO)C(=O)O>>CSCCCCC(C(=O)O)N(O)O
ID0000097,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)c1ccco1>>CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCSC(=O)c1ccc(O)o1
ID0000098,NC(CCCCNCC(=O)C(O)C(O)C(O)COP(=O)(O)O)C(=O)O>>NC(CCCCNCC(=O)C(O)C(O)C(O)CO)C(=O)O
ID0000099,NC(CCC(=O)O)C(=O)O>>CC(=O)NC(CC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)O
ID0000100,CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(OC(C)=O)[C@@H](OC(C)=O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O[C@H]2C[C@@H](N(C)C)[C@@H](O)[C@H](C)O2)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O>>CC[C@H]1OC(=O)C(C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O[C@H]2C[C@@H](N(C)C)[C@@H](O)[C@H](C)O2)CC(C)C(=O)C(C)[C@@H](O)[C@]1(C)O
ID0000101,O[C@@H]1c2ccccc2C=C[C@@H]1O>>c1ccc2ccccc2c1
ID0000102,O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1>>CC(=O)N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
ID0000103,Oc1cccc(Cl)c1O>>O[C@@H]1C=CC=C(Cl)[C@@H]1O
